"filename", "language", "Markdown", "Python", "JSON", "comment", "blank", "total"
"e:\project\离散数学\Lab-1\1_WanghaoLab\binary_tree.py", "Python", 0, 105, 0, 1, 14, 120
"e:\project\离散数学\Lab-1\1_WanghaoLab\infer.py", "Python", 0, 164, 0, 16, 10, 190
"e:\project\离散数学\Lab-1\1_WanghaoLab\input_proc.py", "Python", 0, 81, 0, 7, 15, 103
"e:\project\离散数学\Lab-1\1_WanghaoLab\main.py", "Python", 0, 36, 0, 4, 6, 46
"e:\project\离散数学\Lab-1\1_WanghaoLab\state.py", "Python", 0, 14, 0, 0, 3, 17
"e:\project\离散数学\Lab-1\1_WanghaoLab\test.py", "Python", 0, 29, 0, 0, 5, 34
"e:\project\离散数学\Lab-1\2_LogicLab\helper.py", "Python", 0, 57, 0, 8, 15, 80
"e:\project\离散数学\Lab-1\2_LogicLab\logic.py", "Python", 0, 20, 0, 1, 7, 28
"e:\project\离散数学\Lab-1\2_LogicLab\propParse.py", "Python", 0, 44, 0, 0, 5, 49
"e:\project\离散数学\Lab-1\2_LogicLab\proposition.py", "Python", 0, 136, 0, 0, 54, 190
"e:\project\离散数学\Lab-1\2_LogicLab\solution.py", "Python", 0, 247, 0, 34, 82, 363
"e:\project\离散数学\Lab-1\2_LogicLab\test.ipynb", "JSON", 0, 0, 209, 0, 1, 210
"e:\project\离散数学\Lab-1\3_SetLab\number.py", "Python", 0, 42, 0, 12, 12, 66
"e:\project\离散数学\Lab-1\3_SetLab\set.py", "Python", 0, 56, 0, 0, 4, 60
"e:\project\离散数学\Lab-1\4_RelationLab\.VSCodeCounter\2025-03-11_23-28-16\details.md", "Markdown", 15, 0, 0, 0, 6, 21
"e:\project\离散数学\Lab-1\4_RelationLab\.VSCodeCounter\2025-03-11_23-28-16\diff-details.md", "Markdown", 9, 0, 0, 0, 6, 15
"e:\project\离散数学\Lab-1\4_RelationLab\.VSCodeCounter\2025-03-11_23-28-16\diff.md", "Markdown", 12, 0, 0, 0, 7, 19
"e:\project\离散数学\Lab-1\4_RelationLab\.VSCodeCounter\2025-03-11_23-28-16\results.json", "JSON", 0, 0, 1, 0, 0, 1
"e:\project\离散数学\Lab-1\4_RelationLab\.VSCodeCounter\2025-03-11_23-28-16\results.md", "Markdown", 15, 0, 0, 0, 7, 22
"e:\project\离散数学\Lab-1\4_RelationLab\database_methods.py", "Python", 0, 45, 0, 4, 12, 61
"e:\project\离散数学\Lab-1\4_RelationLab\relation.py", "Python", 0, 129, 0, 14, 19, 162
"e:\project\离散数学\Lab-1\4_RelationLab\relation_methods.py", "Python", 0, 90, 0, 21, 18, 129
"e:\project\离散数学\Lab-1\4_RelationLab\reldatabase.py", "Python", 0, 83, 0, 1, 19, 103
"e:\project\离散数学\Lab-1\4_RelationLab\test.py", "Python", 0, 38, 0, 0, 11, 49
"e:\project\离散数学\Lab-1\4_RelationLab\workload.ipynb", "JSON", 0, 0, 196, 0, 1, 197
"e:\project\离散数学\Lab-1\5_FunctionLab\dp-PA.py", "Python", 0, 65, 0, 7, 19, 91
"e:\project\离散数学\Lab-1\5_FunctionLab\minset.py", "Python", 0, 23, 0, 0, 3, 26
"e:\project\离散数学\Lab-1\5_FunctionLab\recursion-PA1.py", "Python", 0, 47, 0, 0, 10, 57
"e:\project\离散数学\Lab-1\5_FunctionLab\recursion-PA2.py", "Python", 0, 67, 0, 4, 13, 84
"e:\project\离散数学\Lab-1\5_FunctionLab\sort.py", "Python", 0, 84, 0, 0, 26, 110
"e:\project\离散数学\Lab-1\README.md", "Markdown", 512, 0, 0, 0, 137, 649
"Total", "-", 563, 1702, 406, 134, 547, 3352
